Date,Product,Category,Quantity,Price,Discount
2024-08-01,ProductA,Electronics,8,200.0,0.10
2024-08-01,ProductC,Home,6,100.0,0.15
2024-08-02,ProductA,Electronics,4,200.0,0.05
2024-08-02,ProductD,Furniture,7,300.0,0.20
2024-08-03,ProductB,Home,3,150.0,0.10
2024-08-03,ProductE,Books,9,50.0,0.05
2024-08-04,ProductA,Electronics,12,200.0,0.0
2024-08-04,ProductF,Toys,8,25.0,0.0
2024-08-05,ProductC,Home,11,100.0,0.10
2024-08-05,ProductG,Home,7,80.0,0.15
2024-08-06,ProductB,Home,10,150.0,0.05
2024-08-06,ProductE,Books,5,50.0,0.0
2024-08-07,ProductD,Furniture,4,300.0,0.10
2024-08-07,ProductH,Electronics,9,400.0,0.05
2024-08-08,ProductA,Electronics,6,200.0,0.10
2024-08-08,ProductC,Home,5,100.0,0.20
2024-08-09,ProductG,Home,12,80.0,0.0
2024-08-09,ProductF,Toys,10,25.0,0.10
2024-08-10,ProductA,Electronics,7,200.0,0.0
2024-08-10,ProductB,Home,8,150.0,0.15

