Date,Product,Category,Quantity,Price,Discount
2024-08-01,ProductB,Home,4,150.0,0.05
2024-08-01,ProductC,Home,2,100.0,0.10
2024-08-02,ProductA,Electronics,6,200.0,0.05
2024-08-02,ProductE,Books,10,50.0,0.0
2024-08-03,ProductD,Furniture,5,300.0,0.15
2024-08-03,ProductF,Toys,9,25.0,0.0
2024-08-04,ProductG,Home,7,80.0,0.10
2024-08-04,ProductA,Electronics,11,200.0,0.05
2024-08-05,ProductH,Electronics,6,400.0,0.05
2024-08-05,ProductE,Books,12,50.0,0.0
2024-08-06,ProductB,Home,5,150.0,0.10
2024-08-06,ProductC,Home,8,100.0,0.15
2024-08-07,ProductD,Furniture,3,300.0,0.20
2024-08-07,ProductA,Electronics,7,200.0,0.0
2024-08-08,ProductF,Toys,11,25.0,0.10
2024-08-08,ProductG,Home,9,80.0,0.0
2024-08-09,ProductC,Home,6,100.0,0.05
2024-08-09,ProductH,Electronics,8,400.0,0.05
2024-08-10,ProductE,Books,4,50.0,0.0
2024-08-10,ProductB,Home,3,150.0,0.10

