Date,Product,Category,Quantity,Price,Discount
2024-08-01,ProductA,Electronics,10,200.0,0.05
2024-08-01,ProductB,Home,5,150.0,0.10
2024-08-02,ProductA,Electronics,7,200.0,
2024-08-02,ProductC,Home,3,100.0,0.0
2024-08-03,ProductD,Furniture,4,300.0,0.15
2024-08-03,ProductE,Books,8,50.0,0.0
2024-08-04,ProductF,Toys,12,25.0,0.05
2024-08-04,ProductA,Electronics,6,200.0,0.10
2024-08-05,ProductG,Home,10,80.0,0.10
2024-08-05,ProductB,Home,9,150.0,0.20
2024-08-06,ProductC,Home,7,100.0,0.10
2024-08-06,ProductH,Electronics,3,400.0,0.05
2024-08-07,ProductA,Electronics,4,200.0,0.0
2024-08-07,ProductE,Books,5,50.0,0.10
2024-08-08,ProductD,Furniture,6,300.0,0.10
2024-08-08,ProductC,Home,8,100.0,0.15
2024-08-09,ProductF,Toys,15,25.0,0.0
2024-08-09,ProductG,Home,6,80.0,0.05
2024-08-10,ProductA,Electronics,3,200.0,0.10
2024-08-10,ProductB,Home,4,150.0,0.05

